id,company_id,branch_id,name,email,role,created_at
f0e9f4da-9ca0-492d-a21e-3f8a819f9184,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,Pooja Sharma,pooja.sharma95@horizonretailltd.com,admin,2021-07-01T09:00:00
f17772cf-7a8e-4e04-aeef-8c148fe1a7e5,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,Fatima Brown,fatima.brown29@horizonretailltd.com,manager,2021-07-01T09:00:00
163b0e08-1801-4ae5-af8c-f287fbcdff7c,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,James Das,james.das14@horizonretailltd.com,sales,2021-07-01T09:00:00
3f0519f3-383c-48a1-8609-f4b51fd5ecd4,00000000-0000-0000-0000-000000000001,51fd3682-4888-4a55-92f7-281307c67941,Divya Shah,divya.shah55@horizonretailltd.com,accountant,2021-07-01T09:00:00
4736f247-39f8-400c-b9ea-519dfbb485f6,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,Arjun Sharma,arjun.sharma12@horizonretailltd.com,admin,2021-07-01T09:00:00
9a16d7d2-dc18-4141-a14f-3394de4b98bc,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,Lisa Brown,lisa.brown65@horizonretailltd.com,manager,2021-07-01T09:00:00
ea13a2c7-2a88-40f3-b073-4e507c524f18,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,Priya Gupta,priya.gupta26@horizonretailltd.com,sales,2021-07-01T09:00:00
f577e0e3-284e-4c71-8d16-74f51d0fe305,00000000-0000-0000-0000-000000000001,0eb66abb-0d5d-4e88-a3ff-16776e267d83,Rohan Brown,rohan.brown58@horizonretailltd.com,accountant,2021-07-01T09:00:00
5a96b78c-2c6b-4aaa-88b5-7c7485705113,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,Fatima Sharma,fatima.sharma98@horizonretailltd.com,admin,2021-07-01T09:00:00
aadd1a3f-3f20-499a-b950-51966ac9090c,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,Michael Rao,michael.rao55@horizonretailltd.com,manager,2021-07-01T09:00:00
eaefa70d-63c2-4537-b86d-2205b826bb2e,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,Layla Johnson,layla.johnson20@horizonretailltd.com,sales,2021-07-01T09:00:00
7760d86e-b342-473c-8c64-b55d64aa491a,00000000-0000-0000-0000-000000000001,a01b7f2a-d4d0-48bf-bb89-c1040f55587a,Lisa Wilson,lisa.wilson14@horizonretailltd.com,accountant,2021-07-01T09:00:00
2afe7cda-5682-4c01-a59f-5f13090047f6,00000000-0000-0000-0000-000000000002,5f6c98b4-4360-41ee-83a3-efc700651a04,Divya Al-Rashid,divya.alrashid13@apexmanufacturing.com,admin,2021-07-01T09:00:00
c75c1d53-938d-4640-b118-e5ada06ce255,00000000-0000-0000-0000-000000000002,5f6c98b4-4360-41ee-83a3-efc700651a04,Yusuf Taylor,yusuf.taylor78@apexmanufacturing.com,manager,2021-07-01T09:00:00
e213801b-a706-48c3-9ba4-7db14d3912f3,00000000-0000-0000-0000-000000000002,5f6c98b4-4360-41ee-83a3-efc700651a04,Omar Patel,omar.patel94@apexmanufacturing.com,sales,2021-07-01T09:00:00
f72410dd-3260-4ece-a477-1ae69ac1e84e,00000000-0000-0000-0000-000000000002,5f6c98b4-4360-41ee-83a3-efc700651a04,Anita Gupta,anita.gupta16@apexmanufacturing.com,accountant,2021-07-01T09:00:00
07274486-6344-4009-ae28-b9027a51f93f,00000000-0000-0000-0000-000000000002,587616fd-ba60-493e-ba92-b68a61b5cdce,Vikram Singh,vikram.singh71@apexmanufacturing.com,admin,2021-07-01T09:00:00
81c496fc-1d35-4405-9a7d-ae0a15104d5b,00000000-0000-0000-0000-000000000002,587616fd-ba60-493e-ba92-b68a61b5cdce,Ahmed Verma,ahmed.verma80@apexmanufacturing.com,manager,2021-07-01T09:00:00
09cd08c0-c83a-42f5-96cc-b9c13c2aa7e4,00000000-0000-0000-0000-000000000002,587616fd-ba60-493e-ba92-b68a61b5cdce,Noor Shah,noor.shah25@apexmanufacturing.com,sales,2021-07-01T09:00:00
6708a3ae-03ac-432d-8065-25bbf8f3a753,00000000-0000-0000-0000-000000000002,587616fd-ba60-493e-ba92-b68a61b5cdce,Karan Patel,karan.patel85@apexmanufacturing.com,accountant,2021-07-01T09:00:00
9d2a5f48-38f2-46be-b733-c1b9f1c891c4,00000000-0000-0000-0000-000000000002,b961632b-814f-4481-946b-17a792487aa7,David Davis,david.davis11@apexmanufacturing.com,admin,2021-07-01T09:00:00
517d046e-f5e7-4244-8dab-e8995b9bfdc4,00000000-0000-0000-0000-000000000002,b961632b-814f-4481-946b-17a792487aa7,David Kumar,david.kumar49@apexmanufacturing.com,manager,2021-07-01T09:00:00
7f514159-0b19-4321-a308-daec53995d5a,00000000-0000-0000-0000-000000000002,b961632b-814f-4481-946b-17a792487aa7,Fatima Hassan,fatima.hassan82@apexmanufacturing.com,sales,2021-07-01T09:00:00
bcde24c7-84f3-4459-afee-eba83339896c,00000000-0000-0000-0000-000000000002,b961632b-814f-4481-946b-17a792487aa7,Noor Joshi,noor.joshi48@apexmanufacturing.com,accountant,2021-07-01T09:00:00
1db94196-443a-440f-ad7e-c4422bb047e3,00000000-0000-0000-0000-000000000003,470852ed-b70b-4f24-879a-6edb4193d8b6,Yusuf Smith,yusuf.smith86@bluestarwholesale.com,admin,2021-07-01T09:00:00
e452be79-f94b-4709-88bf-8f66053789c4,00000000-0000-0000-0000-000000000003,470852ed-b70b-4f24-879a-6edb4193d8b6,Fatima Rao,fatima.rao88@bluestarwholesale.com,manager,2021-07-01T09:00:00
29998a31-9af5-4c58-9bfe-cde4f9a96969,00000000-0000-0000-0000-000000000003,470852ed-b70b-4f24-879a-6edb4193d8b6,Karan Agarwal,karan.agarwal82@bluestarwholesale.com,sales,2021-07-01T09:00:00
74245d66-8df4-4678-b1e9-76d5e231caff,00000000-0000-0000-0000-000000000003,470852ed-b70b-4f24-879a-6edb4193d8b6,Michael Gupta,michael.gupta94@bluestarwholesale.com,accountant,2021-07-01T09:00:00
8626b762-d8ef-4e32-8446-33cdac213522,00000000-0000-0000-0000-000000000003,9b1ac5ce-ad4f-40d1-8b7c-0005176b143d,Anna Joshi,anna.joshi60@bluestarwholesale.com,admin,2021-07-01T09:00:00
61d2418d-6936-4075-a481-1d994952d89b,00000000-0000-0000-0000-000000000003,9b1ac5ce-ad4f-40d1-8b7c-0005176b143d,Vikram Johnson,vikram.johnson82@bluestarwholesale.com,manager,2021-07-01T09:00:00
355d120a-98dd-4393-a62e-df5f4b8a455b,00000000-0000-0000-0000-000000000003,9b1ac5ce-ad4f-40d1-8b7c-0005176b143d,David Iyer,david.iyer42@bluestarwholesale.com,sales,2021-07-01T09:00:00
79c1732a-a6d1-4565-b515-c59de4dbdfe5,00000000-0000-0000-0000-000000000003,9b1ac5ce-ad4f-40d1-8b7c-0005176b143d,Sneha Brown,sneha.brown5@bluestarwholesale.com,accountant,2021-07-01T09:00:00
9dd0c56d-a9cf-4c8d-a998-9df89eb48a85,00000000-0000-0000-0000-000000000003,7227b311-834f-4815-aa86-c5d464758be1,Hassan Al-Rashid,hassan.alrashid35@bluestarwholesale.com,admin,2021-07-01T09:00:00
3b9ffffd-ca39-4330-b08f-59cdb916323f,00000000-0000-0000-0000-000000000003,7227b311-834f-4815-aa86-c5d464758be1,Karan Smith,karan.smith73@bluestarwholesale.com,manager,2021-07-01T09:00:00
33baaf1c-3618-44b5-b42a-4673992689f8,00000000-0000-0000-0000-000000000003,7227b311-834f-4815-aa86-c5d464758be1,Hassan Smith,hassan.smith84@bluestarwholesale.com,sales,2021-07-01T09:00:00
045901bc-3a1a-4a0b-bd8b-876c218464f4,00000000-0000-0000-0000-000000000003,7227b311-834f-4815-aa86-c5d464758be1,Sunita Al-Rashid,sunita.alrashid83@bluestarwholesale.com,accountant,2021-07-01T09:00:00
